step,eval_loss,eval_keyword_match_percentage
0,17.93468475341797,53.25648414985591
40,4.937399864196777,50.20172910662824
80,3.0182929039001465,52.16138328530259
120,2.5590038299560547,53.371757925072046
160,2.3406784534454346,54.12103746397695
200,2.173511266708374,53.94812680115274
240,2.0511841773986816,54.293948126801155
280,1.9699381589889526,54.40922190201729
320,1.927695870399475,54.293948126801155
348,1.9185618162155151,54.236311239193085
-1,1.9185618162155151,54.236311239193085
